Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.2230894565582275,2.2230894565582275,2.3226714935302732,1e-06,1e-06,0.001
1,2,0.022937297821044922,2.376302480697632,nan,nan,1e-06,nan,0.001
1,3,0.04718589782714844,2.26021146774292,nan,nan,1e-06,nan,0.001
1,4,0.07008194923400879,2.1774966716766357,nan,nan,1e-06,nan,0.001
1,5,0.0942697525024414,2.18099045753479,nan,nan,1e-06,nan,0.001
1,6,0.11641979217529297,2.3578591346740723,nan,nan,1e-06,nan,0.001
1,7,0.14098024368286133,2.35105562210083,nan,nan,1e-06,nan,0.001
1,8,0.16344118118286133,2.328784942626953,nan,nan,1e-06,nan,0.001
1,9,0.18777799606323242,2.3036649227142334,nan,nan,1e-06,nan,0.001
1,10,0.20986175537109375,2.1394388675689697,nan,nan,1e-06,nan,0.001
1,11,0.23540902137756348,2.2284462451934814,nan,nan,1e-06,nan,0.001
1,12,0.2570831775665283,2.2256367206573486,nan,nan,1e-06,nan,0.001
1,13,0.2813889980316162,2.231046199798584,nan,nan,1e-06,nan,0.001
1,14,0.30337047576904297,2.1963465213775635,nan,nan,1e-06,nan,0.001
1,15,0.3276088237762451,2.200490713119507,nan,nan,1e-06,nan,0.001
1,16,0.34947657585144043,2.244877338409424,nan,nan,1e-06,nan,0.001
1,17,0.37618303298950195,2.2927796840667725,nan,nan,1e-06,nan,0.001
1,18,0.4005289077758789,2.212217330932617,nan,nan,1e-06,nan,0.001
1,19,0.4234297275543213,2.368408441543579,nan,nan,1e-06,nan,0.001
1,20,0.4477698802947998,2.2951955795288086,nan,nan,1e-06,nan,0.001
1,21,0.4725017547607422,2.2679834365844727,nan,nan,1e-06,nan,0.001
1,22,0.49566221237182617,2.301957368850708,nan,nan,1e-06,nan,0.001
1,23,0.5197768211364746,2.2940971851348877,nan,nan,1e-06,nan,0.001
1,24,0.5421710014343262,2.329263210296631,nan,nan,1e-06,nan,0.001
1,25,0.5668039321899414,2.28926420211792,nan,nan,1e-06,nan,0.001
1,26,0.5890882015228271,2.2605226039886475,nan,nan,1e-06,nan,0.001
1,27,0.6129148006439209,2.3044373989105225,nan,nan,1e-06,nan,0.001
1,28,0.636845588684082,2.262824296951294,nan,nan,1e-06,nan,0.001
1,29,0.6612346172332764,2.3725790977478027,nan,nan,1e-06,nan,0.001
1,30,0.6854691505432129,2.3526430130004883,nan,nan,1e-06,nan,0.001
1,31,0.7098405361175537,2.2626354694366455,nan,nan,1e-06,nan,0.001
1,32,0.7341794967651367,2.325338363647461,nan,nan,1e-06,nan,0.001
1,33,0.7621588706970215,2.3163132667541504,nan,nan,1e-06,nan,0.001
1,34,0.7863790988922119,2.2779033184051514,nan,nan,1e-06,nan,0.001
1,35,0.8111169338226318,2.3056318759918213,nan,nan,1e-06,nan,0.001
1,36,0.8343570232391357,2.2516210079193115,nan,nan,1e-06,nan,0.001
1,37,0.8587124347686768,2.288787841796875,nan,nan,1e-06,nan,0.001
1,38,0.8808596134185791,2.3124189376831055,nan,nan,1e-06,nan,0.001
1,39,0.9054520130157471,2.3091416358947754,nan,nan,1e-06,nan,0.001
1,40,0.9366915225982666,2.1925907135009766,nan,nan,1e-06,nan,0.001
1,41,0.9614737033843994,2.3157126903533936,nan,nan,1e-06,nan,0.001
1,42,0.9860515594482422,2.247934341430664,nan,nan,1e-06,nan,0.001
1,43,1.0126712322235107,2.343355894088745,nan,nan,1e-06,nan,0.001
1,44,1.0372428894042969,2.3748044967651367,nan,nan,1e-06,nan,0.001
1,45,1.0605008602142334,2.3473293781280518,nan,nan,1e-06,nan,0.001
1,46,1.0850391387939453,2.236531972885132,nan,nan,1e-06,nan,0.001
1,47,1.1087327003479004,2.284222364425659,nan,nan,1e-06,nan,0.001
1,48,1.293785810470581,2.3084330558776855,2.2831388889475073,2.316086837768555,1e-06,9.999999999999993e-07,0.001
2,49,1.315500020980835,2.2049241065979004,nan,nan,1e-06,nan,0.001
2,50,1.3395462036132812,2.335289239883423,nan,nan,1e-06,nan,0.001
2,51,1.3633708953857422,2.2905025482177734,nan,nan,1e-06,nan,0.001
2,52,1.3876535892486572,2.331148624420166,nan,nan,1e-06,nan,0.001
2,53,1.4094407558441162,2.2613823413848877,nan,nan,1e-06,nan,0.001
2,54,1.434373140335083,2.1585686206817627,nan,nan,1e-06,nan,0.001
2,55,1.4587650299072266,2.2435684204101562,nan,nan,1e-06,nan,0.001
2,56,1.4811859130859375,2.2897727489471436,nan,nan,1e-06,nan,0.001
2,57,1.5057289600372314,2.2545688152313232,nan,nan,1e-06,nan,0.001
2,58,1.5290722846984863,2.2853150367736816,nan,nan,1e-06,nan,0.001
2,59,1.5534777641296387,2.1872663497924805,nan,nan,1e-06,nan,0.001
2,60,1.5778322219848633,2.271934747695923,nan,nan,1e-06,nan,0.001
2,61,1.5999925136566162,2.237534999847412,nan,nan,1e-06,nan,0.001
2,62,1.6245079040527344,2.2862844467163086,nan,nan,1e-06,nan,0.001
2,63,1.6487705707550049,2.319777727127075,nan,nan,1e-06,nan,0.001
2,64,1.670931339263916,2.26686954498291,nan,nan,1e-06,nan,0.001
2,65,1.6953907012939453,2.2774901390075684,nan,nan,1e-06,nan,0.001
2,66,1.717268705368042,2.191274881362915,nan,nan,1e-06,nan,0.001
2,67,1.7417173385620117,2.2577147483825684,nan,nan,1e-06,nan,0.001
2,68,1.7660322189331055,2.208983898162842,nan,nan,1e-06,nan,0.001
2,69,1.7903201580047607,2.2718045711517334,nan,nan,1e-06,nan,0.001
2,70,1.813101053237915,2.4036245346069336,nan,nan,1e-06,nan,0.001
2,71,1.838247537612915,2.313840389251709,nan,nan,1e-06,nan,0.001
2,72,1.8609213829040527,2.2763619422912598,nan,nan,1e-06,nan,0.001
2,73,1.8851768970489502,2.2214107513427734,nan,nan,1e-06,nan,0.001
2,74,1.9096202850341797,2.208507537841797,nan,nan,1e-06,nan,0.001
2,75,1.9334027767181396,2.1956288814544678,nan,nan,1e-06,nan,0.001
